month,average_sales,total_sales,number_of_records
1,341.92155358839506,94442152.3166506,276210
2,320.9288688131747,80637229.4357359,251262
3,352.0092941856522,97228487.147019,276210
4,339.1998412175608,90668117.557454,267300
5,341.7658195697259,94399137.023354,276210
6,353.59784246862887,94516703.2918645,267300
7,374.2191111443336,103363060.6891764,276210
8,336.99253461263635,83472376.8384808,247698
9,362.297418259378,77473679.9205854,213840
10,362.40713205328507,80080379.1555503,220968
11,375.68176235612606,80335788.062234,213840
12,453.7403702065264,97027840.7649636,213840
