date,year,month,day,day_of_week,day_of_year,predicted_demand,model
2025-01-21,2025,1,21,1,21,157.0,Gradient Boosting
2025-01-22,2025,1,22,2,22,157.0,Gradient Boosting
2025-01-23,2025,1,23,3,23,156.29,Gradient Boosting
2025-01-24,2025,1,24,4,24,156.06,Gradient Boosting
2025-01-25,2025,1,25,5,25,156.06,Gradient Boosting
2025-01-26,2025,1,26,6,26,156.06,Gradient Boosting
2025-01-27,2025,1,27,0,27,157.0,Gradient Boosting
2025-01-28,2025,1,28,1,28,157.0,Gradient Boosting
2025-01-29,2025,1,29,2,29,157.0,Gradient Boosting
2025-01-30,2025,1,30,3,30,156.29,Gradient Boosting
2025-01-31,2025,1,31,4,31,156.06,Gradient Boosting
2025-02-01,2025,2,1,5,32,131.06,Gradient Boosting
2025-02-02,2025,2,2,6,33,131.06,Gradient Boosting
2025-02-03,2025,2,3,0,34,131.17,Gradient Boosting
2025-02-04,2025,2,4,1,35,131.2,Gradient Boosting
2025-02-05,2025,2,5,2,36,131.43,Gradient Boosting
2025-02-06,2025,2,6,3,37,131.69,Gradient Boosting
2025-02-07,2025,2,7,4,38,131.99,Gradient Boosting
2025-02-08,2025,2,8,5,39,133.47,Gradient Boosting
2025-02-09,2025,2,9,6,40,134.28,Gradient Boosting
2025-02-10,2025,2,10,0,41,134.75,Gradient Boosting
2025-02-11,2025,2,11,1,42,139.86,Gradient Boosting
2025-02-12,2025,2,12,2,43,142.55,Gradient Boosting
2025-02-13,2025,2,13,3,44,143.71,Gradient Boosting
2025-02-14,2025,2,14,4,45,144.69,Gradient Boosting
2025-02-15,2025,2,15,5,46,146.47,Gradient Boosting
2025-02-16,2025,2,16,6,47,146.47,Gradient Boosting
2025-02-17,2025,2,17,0,48,153.19,Gradient Boosting
2025-02-18,2025,2,18,1,49,153.19,Gradient Boosting
2025-02-19,2025,2,19,2,50,155.74,Gradient Boosting
