date,sales,holiday_flag,festival_flag
2017-04-01,1463083.962459,1,0
2017-01-02,1402306.370834,1,0
2017-06-04,1376511.520495,0,0
2016-04-18,1345920.6048929,1,0
2017-05-01,1306699.366897,1,0
2017-07-02,1296379.2175535,0,0
2016-12-23,1282145.5171351,1,0
2016-12-04,1276195.0362097,0,0
2016-04-17,1271833.739255,1,0
2016-05-01,1270121.20756,1,0
2016-04-03,1266908.291001,0,0
2016-12-18,1260471.9085900001,0,0
2016-10-02,1256480.1709663,0,0
2016-12-24,1246837.8430543,1,0
2015-10-04,1234130.938595,0,0
2017-05-07,1227380.607924,0,0
2016-01-03,1226735.719895,0,0
2017-06-11,1213673.946877,0,0
2017-07-01,1207529.921868,0,0
2017-05-21,1201938.886229,0,0
