holiday_types,Total_Sales,Average_Sales,Records
Additional; Event,1071192.776983,601.1182811352413,1782
Additional; Holiday,3982149.7932303,558.6629900715909,7128
Holiday; Work Day,929802.771943,521.7748439635242,1782
Additional; Bridge,872098.456795,489.39307339786757,1782
Additional; Transfer,847867.677942,475.7955544006734,1782
Additional,26246971.5911991,475.12710602800587,55242
Transfer,6653956.7015966,466.74780454521607,14256
Bridge,1516231.608458,425.4297442362514,3564
Event,36967653.714238,423.36807661923086,87318
Event; Holiday,3617798.0968592,406.0379457754433,8910
No Holiday,898648248.7792114,352.1591805623003,2551824
Holiday,89904859.4690234,347.94248797950155,258390
Work Day,2386120.7655895,334.7531938256874,7128
