Month,Month_Name,Total_Sales,Average_Sales,Records,Seasonal_Index
1,January,94442152.3166506,341.92155358839506,276210,0.9509352016244131
2,February,80637229.4357359,320.9288688131747,251262,0.892551391888356
3,March,97228487.147019,352.0092941856522,276210,0.97899072353613
4,April,90668117.557454,339.1998412175608,267300,0.943365710684282
5,May,94399137.023354,341.7658195697259,276210,0.9505020819252052
6,June,94516703.2918645,353.59784246862887,267300,0.9834087149318436
7,July,103363060.6891764,374.2191111443336,276210,1.0407595607035858
8,August,83472376.8384808,336.99253461263635,247698,0.9372268594496286
9,September,77473679.9205854,362.297418259378,213840,1.0076035419961287
10,October,80080379.1555503,362.40713205328507,220968,1.0079086725374329
11,November,80335788.062234,375.68176235612606,213840,1.044827413432947
12,December,97027840.7649636,453.74037020652634,213840,1.2619201272900495
