family,Total_Sales,Average_Sales,Records,Product_Rank
GROCERY I,343462734.886,3776.9721000043983,90936,1
BEVERAGES,216954486.0,2385.7931512272366,90936,2
PRODUCE,122704684.67646,1349.352123212589,90936,3
CLEANING,97521289.0,1072.4167436438813,90936,4
DAIRY,64487709.0,709.1548891528108,90936,5
BREAD/BAKERY,42133945.576369,463.3362538089316,90936,6
POULTRY,31876004.471721,350.53229163060837,90936,7
MEATS,31086468.4040749,341.84996485522674,90936,8
PERSONAL CARE,24592051.0,270.43251297615905,90936,9
DELI,24110322.468767,265.13506717655275,90936,10
HOME CARE,16022744.0,176.19802938330255,90936,11
EGGS,15588296.0,171.4205155274039,90936,12
FROZEN FOODS,14073887.7199105,154.76695390066092,90936,13
PREPARED FOODS,8799895.1169425,96.77020230648479,90936,14
"LIQUOR,WINE,BEER",7746640.0,85.18782440397642,90936,15
SEAFOOD,2015431.8828236,22.163190406699215,90936,16
GROCERY II,1962767.0,21.58404812175596,90936,17
HOME AND KITCHEN I,1861491.0,20.470341778833465,90936,18
HOME AND KITCHEN II,1520670.0,16.722420163631565,90936,19
CELEBRATION,761177.0,8.370469341075042,90936,20
LINGERIE,653114.0,7.182128090085334,90936,21
LADIESWEAR,651159.0,7.16062945368171,90936,22
PLAYERS AND ELECTRONICS,562608.0,6.186856690419636,90936,23
AUTOMOTIVE,554822.0,6.101236034133897,90936,24
LAWN AND GARDEN,548842.0,6.035475499252222,90936,25
PET SUPPLIES,356584.0,3.9212633060614057,90936,26
BEAUTY,337893.0,3.7157231459487994,90936,27
SCHOOL AND OFFICE SUPPLIES,269316.0,2.9615993665874902,90936,28
MAGAZINES,266359.0,2.9290819917304476,90936,29
HARDWARE,103470.0,1.1378332013723937,90936,30
HOME APPLIANCES,41601.0,0.45747558722618104,90936,31
BABY CARE,10051.0,0.11052828362804609,90936,32
BOOKS,6438.0,0.07079704407495381,90936,33
