store_nbr,Total_Sales,Average_Sales,Records,Store_Rank
44,62087553.250089,1117.2452539064457,55572,1
45,54498010.416674,980.6739080233572,55572,2
47,50948310.061006,916.7982088282948,55572,3
3,50481910.185082,908.4054953048658,55572,4
49,43420095.783768,781.3304502945368,55572,5
46,41896062.1216342,753.9059620246563,55572,6
48,35933130.2739365,646.6049498656968,55572,7
51,32911489.537604,592.2315111495717,55572,8
8,30494286.928015,548.7347392214605,55572,9
50,28653020.6246953,515.6017531255902,55572,10
11,28325558.481396,509.70917874821856,55572,11
7,26952049.582971,484.9933344664759,55572,12
9,26409441.0647935,475.22927130197763,55572,13
6,25183679.997054,453.17210100507447,55572,14
24,23767732.701713,427.6925916237134,55572,15
2,21557388.6445642,387.9181718232959,55572,16
39,20252192.53354,364.4315938519398,55572,17
37,19970635.6144784,359.3650690001872,55572,18
27,19188021.3815342,345.2821813419384,55572,19
4,18909700.380001,340.27388576983014,55572,20
38,18859999.2605296,339.3795303485496,55572,21
40,18395757.405968,331.02564971510833,55572,22
28,18383154.8339259,330.7988705449849,55572,23
17,18030969.250161,324.4614059267437,55572,24
31,17746872.701507,319.3491812694702,55572,25
34,17090734.15915,307.5421823787159,55572,26
43,16391692.2119096,294.9631507217592,55572,27
5,15592404.5723532,280.58023055411354,55572,28
36,15322431.096578,275.722145983193,55572,29
41,14991039.1385844,269.7588558731807,55572,30
33,14178501.293449,255.13750258131793,55572,31
1,14145012.8696541,254.53488932653315,55572,32
18,13259375.6899043,238.598137369616,55572,33
19,13049509.836733,234.82166984691932,55572,34
20,12920954.5928321,232.50836019635966,55572,35
23,11651380.6749087,209.66279196193585,55572,36
15,11451270.022648,206.0618660952998,55572,37
25,11420997.8725745,205.5171286362647,55572,38
14,11387918.748218,204.92188059126897,55572,39
53,11216167.2826831,201.83126903266214,55572,40
54,11057483.1179049,198.97579928569962,55572,41
16,10986412.5547492,197.69690770080615,55572,42
12,10659217.957236,191.8091477225221,55572,43
13,10523045.81794,189.3587745256604,55572,44
29,9725157.696084,175.00103822219822,55572,45
10,9613905.735863,172.9990955132621,55572,46
21,9255505.91021,166.54980764071834,55572,47
42,8945767.8851627,160.97617298572482,55572,48
26,7755121.8918648,139.55088699101705,55572,49
35,7676679.4216696,138.1393403453106,55572,50
30,7382073.663963,132.83800590158714,55572,51
32,5951795.9975515,107.10062617058051,55572,52
22,4090201.7408,73.60184518822429,55572,53
52,2696169.733249,48.51669425698193,55572,54
